Symbol	RNA
C130074G19Rik	C130074G19Rik	Gene Expression
Mark1	Mark1	Gene Expression
Rab3gap2	Rab3gap2	Gene Expression
Iars2	Iars2	Gene Expression
Bpnt1	Bpnt1	Gene Expression
Eprs	Eprs	Gene Expression
Gm2061	Gm2061	Gene Expression
Slc30a10	Slc30a10	Gene Expression
Lyplal1	Lyplal1	Gene Expression
Rrp15	Rrp15	Gene Expression
A430105J06Rik	A430105J06Rik	Gene Expression
Spata17	Spata17	Gene Expression
Gpatch2	Gpatch2	Gene Expression
Esrrg	Esrrg	Gene Expression
Kctd3	Kctd3	Gene Expression
Cenpf	Cenpf	Gene Expression
Ptpn14	Ptpn14	Gene Expression
Smyd2	Smyd2	Gene Expression
Prox1	Prox1	Gene Expression
Gm28172	Gm28172	Gene Expression
Prox1os	Prox1os	Gene Expression
Rps6kc1	Rps6kc1	Gene Expression
Angel2	Angel2	Gene Expression
Flvcr1	Flvcr1	Gene Expression
Tatdn3	Tatdn3	Gene Expression
Nsl1	Nsl1	Gene Expression
Batf3	Batf3	Gene Expression
Atf3	Atf3	Gene Expression
D730003I15Rik	D730003I15Rik	Gene Expression
Nenf	Nenf	Gene Expression
Tmem206	Tmem206	Gene Expression
Ppp2r5a	Ppp2r5a	Gene Expression
Dtl	Dtl	Gene Expression
Ints7	Ints7	Gene Expression
Lpgat1	Lpgat1	Gene Expression
Gm38037	Gm38037	Gene Expression
Nek2	Nek2	Gene Expression
Slc30a1	Slc30a1	Gene Expression
Gm26670	Gm26670	Gene Expression
Traf5	Traf5	Gene Expression
Rcor3	Rcor3	Gene Expression
Hhat	Hhat	Gene Expression
Sertad4	Sertad4	Gene Expression
Diexf	Diexf	Gene Expression
Irf6	Irf6	Gene Expression
A130010J15Rik	A130010J15Rik	Gene Expression
Lamb3	Lamb3	Gene Expression
Hsd11b1	Hsd11b1	Gene Expression
G0s2	G0s2	Gene Expression
Plxna2	Plxna2	Gene Expression
Cd34	Cd34	Gene Expression
Cd46	Cd46	Gene Expression
Cr1l	Cr1l	Gene Expression
Fam171a1	Fam171a1	Gene Expression
Nmt2	Nmt2	Gene Expression
Rpp38	Rpp38	Gene Expression
Dclre1c	Dclre1c	Gene Expression
Suv39h2	Suv39h2	Gene Expression
Hspa14	Hspa14	Gene Expression
Gm45902	Gm45902	Gene Expression
Cdnf	Cdnf	Gene Expression
Fam107b	Fam107b	Gene Expression
Frmd4a	Frmd4a	Gene Expression
Prpf18	Prpf18	Gene Expression
Bend7	Bend7	Gene Expression
Sephs1	Sephs1	Gene Expression
Phyh	Phyh	Gene Expression
Mcm10	Mcm10	Gene Expression
Optn	Optn	Gene Expression
Camk1d	Camk1d	Gene Expression
Cdc123	Cdc123	Gene Expression
Nudt5	Nudt5	Gene Expression
Sec61a2	Sec61a2	Gene Expression
Dhtkd1	Dhtkd1	Gene Expression
Upf2	Upf2	Gene Expression
Proser2	Proser2	Gene Expression
Echdc3	Echdc3	Gene Expression
Usp6nl	Usp6nl	Gene Expression
Celf2	Celf2	Gene Expression
Taf3	Taf3	Gene Expression
Atp5c1	Atp5c1	Gene Expression
Kin	Kin	Gene Expression
Itih2	Itih2	Gene Expression
Itih5	Itih5	Gene Expression
Prkcq	Prkcq	Gene Expression
Pfkfb3	Pfkfb3	Gene Expression
Rbm17	Rbm17	Gene Expression
Il15ra	Il15ra	Gene Expression
Fbxo18	Fbxo18	Gene Expression
Ankrd16	Ankrd16	Gene Expression
Itga8	Itga8	Gene Expression
Mindy3	Mindy3	Gene Expression
Pter	Pter	Gene Expression
C1ql3	C1ql3	Gene Expression
Rsu1	Rsu1	Gene Expression
Trdmt1	Trdmt1	Gene Expression
Vim	Vim	Gene Expression
Hacd1	Hacd1	Gene Expression
Stam	Stam	Gene Expression
Mrc1	Mrc1	Gene Expression
Nsun6	Nsun6	Gene Expression
Arl5b	Arl5b	Gene Expression
Nebl	Nebl	Gene Expression
A930004D18Rik	A930004D18Rik	Gene Expression
Skida1	Skida1	Gene Expression
Mllt10	Mllt10	Gene Expression
Dnajc1	Dnajc1	Gene Expression
Commd3	Commd3	Gene Expression
Bmi1	Bmi1	Gene Expression
Pip4k2a	Pip4k2a	Gene Expression
Msrb2	Msrb2	Gene Expression
Otud1	Otud1	Gene Expression
Etl4	Etl4	Gene Expression
Arhgap21	Arhgap21	Gene Expression
Gm13375	Gm13375	Gene Expression
Thnsl1	Thnsl1	Gene Expression
Apbb1ip	Apbb1ip	Gene Expression
Pdss1	Pdss1	Gene Expression
Abi1	Abi1	Gene Expression
Acbd5	Acbd5	Gene Expression
Mastl	Mastl	Gene Expression
Yme1l1	Yme1l1	Gene Expression
Spopl	Spopl	Gene Expression
Hnmt	Hnmt	Gene Expression
Il1rn	Il1rn	Gene Expression
Psd4	Psd4	Gene Expression
Ehmt1	Ehmt1	Gene Expression
Arrdc1	Arrdc1	Gene Expression
Zmynd19	Zmynd19	Gene Expression
Dph7	Dph7	Gene Expression
Mrpl41	Mrpl41	Gene Expression
Pnpla7	Pnpla7	Gene Expression
Nsmf	Nsmf	Gene Expression
Entpd8	Entpd8	Gene Expression
Noxa1	Noxa1	Gene Expression
Tor4a	Tor4a	Gene Expression
Nelfb	Nelfb	Gene Expression
Tubb4b	Tubb4b	Gene Expression
Ndor1	Ndor1	Gene Expression
Tmem203	Tmem203	Gene Expression
Tprn	Tprn	Gene Expression
Ssna1	Ssna1	Gene Expression
Anapc2	Anapc2	Gene Expression
AA543186	AA543186	Gene Expression
Man1b1	Man1b1	Gene Expression
Dpp7	Dpp7	Gene Expression
Uap1l1	Uap1l1	Gene Expression
Sapcd2	Sapcd2	Gene Expression
Entpd2	Entpd2	Gene Expression
Npdc1	Npdc1	Gene Expression
Abca2	Abca2	Gene Expression
Paxx	Paxx	Gene Expression
Clic3	Clic3	Gene Expression
Ptgds	Ptgds	Gene Expression
Lcn12	Lcn12	Gene Expression
C8g	C8g	Gene Expression
Fbxw5	Fbxw5	Gene Expression
Traf2	Traf2	Gene Expression
Edf1	Edf1	Gene Expression
Phpt1	Phpt1	Gene Expression
Rabl6	Rabl6	Gene Expression
Fcnaos	Fcnaos	Gene Expression
Tmem141	Tmem141	Gene Expression
Fcna	Fcna	Gene Expression
Obp2a	Obp2a	Gene Expression
A230005M16Rik	A230005M16Rik	Gene Expression
Bmyc	Bmyc	Gene Expression
Camsap1	Camsap1	Gene Expression
Ubac1	Ubac1	Gene Expression
Nacc2	Nacc2	Gene Expression
Tmem250-ps	Tmem250-ps	Gene Expression
Qsox2	Qsox2	Gene Expression
Gpsm1	Gpsm1	Gene Expression
Dnlz	Dnlz	Gene Expression
Snapc4	Snapc4	Gene Expression
Sdccag3	Sdccag3	Gene Expression
Pmpca	Pmpca	Gene Expression
Inpp5e	Inpp5e	Gene Expression
Sec16a	Sec16a	Gene Expression
Notch1	Notch1	Gene Expression
Egfl7	Egfl7	Gene Expression
Agpat2	Agpat2	Gene Expression
Fam69b	Fam69b	Gene Expression
Surf6	Surf6	Gene Expression
Med22	Med22	Gene Expression
Rpl7a	Rpl7a	Gene Expression
Surf1	Surf1	Gene Expression
Surf2	Surf2	Gene Expression
Surf4	Surf4	Gene Expression
Rexo4	Rexo4	Gene Expression
Adamts13	Adamts13	Gene Expression
Cacfd1	Cacfd1	Gene Expression
Adamtsl2	Adamtsl2	Gene Expression
Sardh	Sardh	Gene Expression
Vav2	Vav2	Gene Expression
Brd3os	Brd3os	Gene Expression
Brd3	Brd3	Gene Expression
Wdr5	Wdr5	Gene Expression
Rxra	Rxra	Gene Expression
Col5a1	Col5a1	Gene Expression
Olfm1	Olfm1	Gene Expression
1700007K13Rik	1700007K13Rik	Gene Expression
Mrps2	Mrps2	Gene Expression
Ralgds	Ralgds	Gene Expression
Gtf3c5	Gtf3c5	Gene Expression
Tsc1	Tsc1	Gene Expression
Gtf3c4	Gtf3c4	Gene Expression
Ddx31	Ddx31	Gene Expression
Ttf1	Ttf1	Gene Expression
Setx	Setx	Gene Expression
Med27	Med27	Gene Expression
Rapgef1	Rapgef1	Gene Expression
Trub2	Trub2	Gene Expression
Coq4	Coq4	Gene Expression
Slc27a4	Slc27a4	Gene Expression
Urm1	Urm1	Gene Expression
Odf2	Odf2	Gene Expression
Gle1	Gle1	Gene Expression
Sptan1	Sptan1	Gene Expression
Wdr34	Wdr34	Gene Expression
Set	Set	Gene Expression
Pkn3	Pkn3	Gene Expression
Zdhhc12	Zdhhc12	Gene Expression
Zer1	Zer1	Gene Expression
Tbc1d13	Tbc1d13	Gene Expression
Endog	Endog	Gene Expression
Spout1	Spout1	Gene Expression
Kyat1	Kyat1	Gene Expression
1700084E18Rik	1700084E18Rik	Gene Expression
Lrrc8a	Lrrc8a	Gene Expression
Phyhd1	Phyhd1	Gene Expression
Dolk	Dolk	Gene Expression
Nup188	Nup188	Gene Expression
Sh3glb2	Sh3glb2	Gene Expression
Miga2	Miga2	Gene Expression
Dolpp1	Dolpp1	Gene Expression
Crat	Crat	Gene Expression
Ptpa	Ptpa	Gene Expression
Ier5l	Ier5l	Gene Expression
Ntmt1	Ntmt1	Gene Expression
Asb6	Asb6	Gene Expression
Tor1b	Tor1b	Gene Expression
Tor1a	Tor1a	Gene Expression
BC005624	BC005624	Gene Expression
Usp20	Usp20	Gene Expression
Fnbp1	Fnbp1	Gene Expression
Gpr107	Gpr107	Gene Expression
Hmcn2	Hmcn2	Gene Expression
Ass1	Ass1	Gene Expression
Fubp3	Fubp3	Gene Expression
Exosc2	Exosc2	Gene Expression
Abl1	Abl1	Gene Expression
Nup214	Nup214	Gene Expression
Fam78a	Fam78a	Gene Expression
Plpp7	Plpp7	Gene Expression
Prrc2b	Prrc2b	Gene Expression
Pomt1	Pomt1	Gene Expression
Uck1	Uck1	Gene Expression
Swi5	Swi5	Gene Expression
Golga2	Golga2	Gene Expression
Ciz1	Ciz1	Gene Expression
1110008P14Rik	1110008P14Rik	Gene Expression
Lcn2	Lcn2	Gene Expression
Ptges2	Ptges2	Gene Expression
Slc25a25	Slc25a25	Gene Expression
Naif1	Naif1	Gene Expression
Fam102a	Fam102a	Gene Expression
Dpm2	Dpm2	Gene Expression
St6galnac4	St6galnac4	Gene Expression
St6galnac6	St6galnac6	Gene Expression
Eng	Eng	Gene Expression
Fpgs	Fpgs	Gene Expression
Cdk9	Cdk9	Gene Expression
Sh2d3c	Sh2d3c	Gene Expression
Tor2a	Tor2a	Gene Expression
Ptrh1	Ptrh1	Gene Expression
Stxbp1	Stxbp1	Gene Expression
Fam129b	Fam129b	Gene Expression
Lrsam1	Lrsam1	Gene Expression
Rpl12	Rpl12	Gene Expression
Slc2a8	Slc2a8	Gene Expression
Ralgps1	Ralgps1	Gene Expression
Angptl2	Angptl2	Gene Expression
Zbtb34	Zbtb34	Gene Expression
Zbtb43	Zbtb43	Gene Expression
Mvb12b	Mvb12b	Gene Expression
Pbx3	Pbx3	Gene Expression
Mapkap1	Mapkap1	Gene Expression
Gapvd1	Gapvd1	Gene Expression
Hspa5	Hspa5	Gene Expression
Rabepk	Rabepk	Gene Expression
Fbxw2	Fbxw2	Gene Expression
Psmd5	Psmd5	Gene Expression
Cutal	Cutal	Gene Expression
Phf19	Phf19	Gene Expression
Hc	Hc	Gene Expression
Gm13449	Gm13449	Gene Expression
AI182371	AI182371	Gene Expression
Cntrl	Cntrl	Gene Expression
Rab14	Rab14	Gene Expression
Gsn	Gsn	Gene Expression
Stom	Stom	Gene Expression
Ggta1	Ggta1	Gene Expression
Dab2ip	Dab2ip	Gene Expression
Ndufa8	Ndufa8	Gene Expression
Lhx6	Lhx6	Gene Expression
Rbm18	Rbm18	Gene Expression
Mrrf	Mrrf	Gene Expression
Gm13431	Gm13431	Gene Expression
Ptgs1	Ptgs1	Gene Expression
Pdcl	Pdcl	Gene Expression
Rc3h2	Rc3h2	Gene Expression
Zbtb6	Zbtb6	Gene Expression
Zbtb26	Zbtb26	Gene Expression
Rabgap1	Rabgap1	Gene Expression
Strbp	Strbp	Gene Expression
Dennd1a	Dennd1a	Gene Expression
Lhx2	Lhx2	Gene Expression
Nek6	Nek6	Gene Expression
Psmb7	Psmb7	Gene Expression
Nr6a1	Nr6a1	Gene Expression
Gm13496	Gm13496	Gene Expression
Rpl35	Rpl35	Gene Expression
Arpc5l	Arpc5l	Gene Expression
Golga1	Golga1	Gene Expression
Scai	Scai	Gene Expression
Ppp6c	Ppp6c	Gene Expression
Kynu	Kynu	Gene Expression
Arhgap15	Arhgap15	Gene Expression
Gtdc1	Gtdc1	Gene Expression
Zeb2	Zeb2	Gene Expression
Zeb2os	Zeb2os	Gene Expression
Acvr2a	Acvr2a	Gene Expression
Orc4	Orc4	Gene Expression
Mbd5	Mbd5	Gene Expression
Epc2	Epc2	Gene Expression
Lypd6	Lypd6	Gene Expression
Mmadhc	Mmadhc	Gene Expression
Rnd3	Rnd3	Gene Expression
Rbm43	Rbm43	Gene Expression
Nmi	Nmi	Gene Expression
Rif1	Rif1	Gene Expression
Neb	Neb	Gene Expression
Gm13522	Gm13522	Gene Expression
Arl5a	Arl5a	Gene Expression
Cacnb4	Cacnb4	Gene Expression
Stam2	Stam2	Gene Expression
Fmnl2	Fmnl2	Gene Expression
Prpf40a	Prpf40a	Gene Expression
Arl6ip6	Arl6ip6	Gene Expression
Gpd2	Gpd2	Gene Expression
Acvr1	Acvr1	Gene Expression
Upp2	Upp2	Gene Expression
Ccdc148	Ccdc148	Gene Expression
Pkp4	Pkp4	Gene Expression
Tanc1	Tanc1	Gene Expression
Wdsub1	Wdsub1	Gene Expression
Baz2b	Baz2b	Gene Expression
March7	March7	Gene Expression
Cd302	Cd302	Gene Expression
Ly75	Ly75	Gene Expression
Pla2r1	Pla2r1	Gene Expression
Rbms1	Rbms1	Gene Expression
Tank	Tank	Gene Expression
Psmd14	Psmd14	Gene Expression
Dpp4	Dpp4	Gene Expression
Ifih1	Ifih1	Gene Expression
Gca	Gca	Gene Expression
Fign	Fign	Gene Expression
Grb14	Grb14	Gene Expression
Cobll1	Cobll1	Gene Expression
Gm13594	Gm13594	Gene Expression
Ttc21b	Ttc21b	Gene Expression
B3galt1	B3galt1	Gene Expression
Stk39	Stk39	Gene Expression
Cers6	Cers6	Gene Expression
Nostrin	Nostrin	Gene Expression
Spc25	Spc25	Gene Expression
Abcb11	Abcb11	Gene Expression
Dhrs9	Dhrs9	Gene Expression
Lrp2	Lrp2	Gene Expression
Bbs5	Bbs5	Gene Expression
Fastkd1	Fastkd1	Gene Expression
Ppig	Ppig	Gene Expression
Ccdc173	Ccdc173	Gene Expression
Phospho2	Phospho2	Gene Expression
Klhl23	Klhl23	Gene Expression
Ssb	Ssb	Gene Expression
Mettl5	Mettl5	Gene Expression
Mettl5os	Mettl5os	Gene Expression
Ubr3	Ubr3	Gene Expression
Sp5	Sp5	Gene Expression
Gm26558	Gm26558	Gene Expression
Gorasp2	Gorasp2	Gene Expression
Tlk1	Tlk1	Gene Expression
Mettl8	Mettl8	Gene Expression
Dcaf17	Dcaf17	Gene Expression
Dync1i2	Dync1i2	Gene Expression
Slc25a12	Slc25a12	Gene Expression
Hat1	Hat1	Gene Expression
Metap1d	Metap1d	Gene Expression
Itga6	Itga6	Gene Expression
Pdk1	Pdk1	Gene Expression
Rapgef4	Rapgef4	Gene Expression
Map3k20	Map3k20	Gene Expression
Cdca7	Cdca7	Gene Expression
Sp3	Sp3	Gene Expression
Sp3os	Sp3os	Gene Expression
Ola1	Ola1	Gene Expression
Cir1	Cir1	Gene Expression
Scrn3	Scrn3	Gene Expression
Gpr155	Gpr155	Gene Expression
Wipf1	Wipf1	Gene Expression
Chrna1os	Chrna1os	Gene Expression
Chn1os3	Chn1os3	Gene Expression
Atf2	Atf2	Gene Expression
Atp5g3	Atp5g3	Gene Expression
Lnpk	Lnpk	Gene Expression
Mtx2	Mtx2	Gene Expression
Hnrnpa3	Hnrnpa3	Gene Expression
Nfe2l2	Nfe2l2	Gene Expression
Agps	Agps	Gene Expression
Ttc30b	Ttc30b	Gene Expression
Ttc30a1	Ttc30a1	Gene Expression
Rbm45	Rbm45	Gene Expression
Prkra	Prkra	Gene Expression
Fkbp7	Fkbp7	Gene Expression
Plekha3	Plekha3	Gene Expression
Ccdc141	Ccdc141	Gene Expression
Sestd1	Sestd1	Gene Expression
Zfp385b	Zfp385b	Gene Expression
Cwc22	Cwc22	Gene Expression
Ube2e3	Ube2e3	Gene Expression
Itga4	Itga4	Gene Expression
Cerkl	Cerkl	Gene Expression
Ssfa2	Ssfa2	Gene Expression
Pde1a	Pde1a	Gene Expression
Dnajc10	Dnajc10	Gene Expression
Frzb	Frzb	Gene Expression
Nckap1	Nckap1	Gene Expression
Dusp19	Dusp19	Gene Expression
Nup35	Nup35	Gene Expression
Zc3h15	Zc3h15	Gene Expression
Itgav	Itgav	Gene Expression
Fam171b	Fam171b	Gene Expression
Calcrl	Calcrl	Gene Expression
Tfpi	Tfpi	Gene Expression
Gm13710	Gm13710	Gene Expression
Ctnnd1	Ctnnd1	Gene Expression
Selenoh	Selenoh	Gene Expression
Tmx2	Tmx2	Gene Expression
Med19	Med19	Gene Expression
Zdhhc5	Zdhhc5	Gene Expression
Clp1	Clp1	Gene Expression
Gm19426	Gm19426	Gene Expression
Serping1	Serping1	Gene Expression
Ube2l6	Ube2l6	Gene Expression
Timm10	Timm10	Gene Expression
Slc43a1	Slc43a1	Gene Expression
Slc43a3	Slc43a3	Gene Expression
Ssrp1	Ssrp1	Gene Expression
Tnks1bp1	Tnks1bp1	Gene Expression
Olfr1033	Olfr1033	Gene Expression
Olfr1034	Olfr1034	Gene Expression
Ptprj	Ptprj	Gene Expression
Nup160	Nup160	Gene Expression
Fnbp4	Fnbp4	Gene Expression
Mtch2	Mtch2	Gene Expression
C1qtnf4	C1qtnf4	Gene Expression
Ndufs3	Ndufs3	Gene Expression
Kbtbd4	Kbtbd4	Gene Expression
Celf1	Celf1	Gene Expression
Psmc3	Psmc3	Gene Expression
Slc39a13	Slc39a13	Gene Expression
Spi1	Spi1	Gene Expression
Madd	Madd	Gene Expression
Nr1h3	Nr1h3	Gene Expression
Acp2	Acp2	Gene Expression
Ddb2	Ddb2	Gene Expression
A330069E16Rik	A330069E16Rik	Gene Expression
Pacsin3	Pacsin3	Gene Expression
Arfgap2	Arfgap2	Gene Expression
1110051M20Rik	1110051M20Rik	Gene Expression
Lrp4	Lrp4	Gene Expression
Ckap5	Ckap5	Gene Expression
F2	F2	Gene Expression
Zfp408	Zfp408	Gene Expression
Arhgap1	Arhgap1	Gene Expression
Atg13	Atg13	Gene Expression
Harbi1	Harbi1	Gene Expression
Ambra1	Ambra1	Gene Expression
Dgkz	Dgkz	Gene Expression
Phf21a	Phf21a	Gene Expression
Large2	Large2	Gene Expression
Pex16	Pex16	Gene Expression
1700029I15Rik	1700029I15Rik	Gene Expression
Mapk8ip1	Mapk8ip1	Gene Expression
Cry2	Cry2	Gene Expression
Slc35c1	Slc35c1	Gene Expression
Prdm11	Prdm11	Gene Expression
Trp53i11	Trp53i11	Gene Expression
Tspan18	Tspan18	Gene Expression
Cd82	Cd82	Gene Expression
Ext2	Ext2	Gene Expression
Accs	Accs	Gene Expression
Gm13889	Gm13889	Gene Expression
Alkbh3	Alkbh3	Gene Expression
Hsd17b12	Hsd17b12	Gene Expression
Ttc17	Ttc17	Gene Expression
Api5	Api5	Gene Expression
B230118H07Rik	B230118H07Rik	Gene Expression
Traf6	Traf6	Gene Expression
Prr5l	Prr5l	Gene Expression
Commd9	Commd9	Gene Expression
Ldlrad3	Ldlrad3	Gene Expression
Trim44	Trim44	Gene Expression
Slc1a2	Slc1a2	Gene Expression
Cd44	Cd44	Gene Expression
Pdhx	Pdhx	Gene Expression
Apip	Apip	Gene Expression
Cat	Cat	Gene Expression
Abtb2	Abtb2	Gene Expression
Nat10	Nat10	Gene Expression
Caprin1	Caprin1	Gene Expression
Lmo2	Lmo2	Gene Expression
Fbxo3	Fbxo3	Gene Expression
Cd59b	Cd59b	Gene Expression
Cd59a	Cd59a	Gene Expression
A930018P22Rik	A930018P22Rik	Gene Expression
Hipk3	Hipk3	Gene Expression
Cstf3	Cstf3	Gene Expression
Tcp11l1	Tcp11l1	Gene Expression
Depdc7	Depdc7	Gene Expression
Qser1	Qser1	Gene Expression
Prrg4	Prrg4	Gene Expression
Ccdc73	Ccdc73	Gene Expression
Eif3m	Eif3m	Gene Expression
Them7	Them7	Gene Expression
Rcn1	Rcn1	Gene Expression
Elp4	Elp4	Gene Expression
Immp1l	Immp1l	Gene Expression
Dnajc24	Dnajc24	Gene Expression
Arl14ep	Arl14ep	Gene Expression
Mettl15	Mettl15	Gene Expression
Kif18a	Kif18a	Gene Expression
Bdnf	Bdnf	Gene Expression
Lin7c	Lin7c	Gene Expression
Lgr4	Lgr4	Gene Expression
Ccdc34	Ccdc34	Gene Expression
Bbox1	Bbox1	Gene Expression
Fibin	Fibin	Gene Expression
Lpcat4	Lpcat4	Gene Expression
Nop10	Nop10	Gene Expression
Slc12a6	Slc12a6	Gene Expression
Emc4	Emc4	Gene Expression
Katnbl1	Katnbl1	Gene Expression
Emc7	Emc7	Gene Expression
Aven	Aven	Gene Expression
Fmn1	Fmn1	Gene Expression
Arhgap11a	Arhgap11a	Gene Expression
Aqr	Aqr	Gene Expression
Zfp770	Zfp770	Gene Expression
Dph6	Dph6	Gene Expression
BC052040	BC052040	Gene Expression
Meis2	Meis2	Gene Expression
2700033N17Rik	2700033N17Rik	Gene Expression
Spred1	Spred1	Gene Expression
Fam98b	Fam98b	Gene Expression
Rasgrp1	Rasgrp1	Gene Expression
Eif2ak4	Eif2ak4	Gene Expression
Srp14	Srp14	Gene Expression
Bmf	Bmf	Gene Expression
Bub1b	Bub1b	Gene Expression
Inafm2	Inafm2	Gene Expression
A430105I19Rik	A430105I19Rik	Gene Expression
Knstrn	Knstrn	Gene Expression
Gm14091	Gm14091	Gene Expression
Ivd	Ivd	Gene Expression
Bahd1	Bahd1	Gene Expression
Chst14	Chst14	Gene Expression
Ccdc32	Ccdc32	Gene Expression
Rpusd2	Rpusd2	Gene Expression
Knl1	Knl1	Gene Expression
Rad51	Rad51	Gene Expression
Rmdn3	Rmdn3	Gene Expression
Gchfr	Gchfr	Gene Expression
Dnajc17	Dnajc17	Gene Expression
Zfyve19	Zfyve19	Gene Expression
Vps18	Vps18	Gene Expression
Chac1	Chac1	Gene Expression
Ino80	Ino80	Gene Expression
Exd1	Exd1	Gene Expression
Chp1	Chp1	Gene Expression
1700020I14Rik	1700020I14Rik	Gene Expression
Oip5	Oip5	Gene Expression
Nusap1	Nusap1	Gene Expression
Ndufaf1	Ndufaf1	Gene Expression
Rtf1	Rtf1	Gene Expression
Itpka	Itpka	Gene Expression
Rpap1	Rpap1	Gene Expression
Tyro3	Tyro3	Gene Expression
Mga	Mga	Gene Expression
Mapkbp1	Mapkbp1	Gene Expression
Jmjd7	Jmjd7	Gene Expression
Ehd4	Ehd4	Gene Expression
Vps39	Vps39	Gene Expression
Tmem87a	Tmem87a	Gene Expression
Ganc	Ganc	Gene Expression
Zfp106	Zfp106	Gene Expression
Snap23	Snap23	Gene Expression
Lrrc57	Lrrc57	Gene Expression
Haus2	Haus2	Gene Expression
Stard9	Stard9	Gene Expression
Cdan1	Cdan1	Gene Expression
Ttbk2	Ttbk2	Gene Expression
Ubr1	Ubr1	Gene Expression
Tmem62	Tmem62	Gene Expression
Ccndbp1	Ccndbp1	Gene Expression
Lcmt2	Lcmt2	Gene Expression
Adal	Adal	Gene Expression
Zscan29	Zscan29	Gene Expression
Tubgcp4	Tubgcp4	Gene Expression
Trp53bp1	Trp53bp1	Gene Expression
Map1a	Map1a	Gene Expression
Ppip5k1	Ppip5k1	Gene Expression
Catsper2	Catsper2	Gene Expression
Pdia3	Pdia3	Gene Expression
Ell3	Ell3	Gene Expression
Serf2	Serf2	Gene Expression
Hypk	Hypk	Gene Expression
Mfap1b	Mfap1b	Gene Expression
Mfap1a	Mfap1a	Gene Expression
Wdr76	Wdr76	Gene Expression
Casc4	Casc4	Gene Expression
Ctdspl2	Ctdspl2	Gene Expression
Eif3j1	Eif3j1	Gene Expression
Spg11	Spg11	Gene Expression
B2m	B2m	Gene Expression
Sord	Sord	Gene Expression
Shf	Shf	Gene Expression
Gatm	Gatm	Gene Expression
Slc30a4	Slc30a4	Gene Expression
Bloc1s6	Bloc1s6	Gene Expression
Sqor	Sqor	Gene Expression
Sema6d	Sema6d	Gene Expression
Slc24a5	Slc24a5	Gene Expression
Myef2	Myef2	Gene Expression
Dut	Dut	Gene Expression
Fbn1	Fbn1	Gene Expression
Cep152	Cep152	Gene Expression
Shc4	Shc4	Gene Expression
Eid1	Eid1	Gene Expression
Secisbp2l	Secisbp2l	Gene Expression
Cops2	Cops2	Gene Expression
Galk2	Galk2	Gene Expression
Dtwd1	Dtwd1	Gene Expression
Atp8b4	Atp8b4	Gene Expression
Slc27a2	Slc27a2	Gene Expression
Hdc	Hdc	Gene Expression
Gabpb1	Gabpb1	Gene Expression
Gm27003	Gm27003	Gene Expression
Usp8	Usp8	Gene Expression
Usp50	Usp50	Gene Expression
Trpm7	Trpm7	Gene Expression
Sppl2a	Sppl2a	Gene Expression
Ap4e1	Ap4e1	Gene Expression
Blvra	Blvra	Gene Expression
Ncaph	Ncaph	Gene Expression
Itpripl1	Itpripl1	Gene Expression
1810024B03Rik	1810024B03Rik	Gene Expression
Snrnp200	Snrnp200	Gene Expression
Ciao1	Ciao1	Gene Expression
Tmem127	Tmem127	Gene Expression
Stard7	Stard7	Gene Expression
Adra2b	Adra2b	Gene Expression
Fahd2a	Fahd2a	Gene Expression
Zfp661	Zfp661	Gene Expression
Mrps5	Mrps5	Gene Expression
Nphp1	Nphp1	Gene Expression
1500011K16Rik	1500011K16Rik	Gene Expression
Bub1	Bub1	Gene Expression
Bcl2l11	Bcl2l11	Gene Expression
Gm14005	Gm14005	Gene Expression
Anapc1	Anapc1	Gene Expression
Mertk	Mertk	Gene Expression
Tmem87b	Tmem87b	Gene Expression
Zc3h8	Zc3h8	Gene Expression
Gm10762	Gm10762	Gene Expression
Zc3h6	Zc3h6	Gene Expression
Ttl	Ttl	Gene Expression
Polr1b	Polr1b	Gene Expression
Chchd5	Chchd5	Gene Expression
Slc20a1	Slc20a1	Gene Expression
A730036I17Rik	A730036I17Rik	Gene Expression
Ckap2l	Ckap2l	Gene Expression
Il1a	Il1a	Gene Expression
Il1b	Il1b	Gene Expression
Sirpa	Sirpa	Gene Expression
Stk35	Stk35	Gene Expression
Snrpb	Snrpb	Gene Expression
Nop56	Nop56	Gene Expression
Idh3b	Idh3b	Gene Expression
Pced1a	Pced1a	Gene Expression
Vps16	Vps16	Gene Expression
Ptpra	Ptpra	Gene Expression
Mrps26	Mrps26	Gene Expression
Oxt	Oxt	Gene Expression
Ubox5	Ubox5	Gene Expression
Fastkd5	Fastkd5	Gene Expression
Lzts3	Lzts3	Gene Expression
Ddrgk1	Ddrgk1	Gene Expression
Itpa	Itpa	Gene Expression
4930402H24Rik	4930402H24Rik	Gene Expression
Atrn	Atrn	Gene Expression
Siglec1	Siglec1	Gene Expression
Hspa12b	Hspa12b	Gene Expression
1700037H04Rik	1700037H04Rik	Gene Expression
Spef1	Spef1	Gene Expression
Cenpb	Cenpb	Gene Expression
Cdc25b	Cdc25b	Gene Expression
Ap5s1	Ap5s1	Gene Expression
Mavs	Mavs	Gene Expression
Pank2	Pank2	Gene Expression
Rnf24	Rnf24	Gene Expression
Smox	Smox	Gene Expression
Prnp	Prnp	Gene Expression
Rassf2	Rassf2	Gene Expression
Slc23a2	Slc23a2	Gene Expression
Tmem230	Tmem230	Gene Expression
Pcna	Pcna	Gene Expression
AV099323	AV099323	Gene Expression
