Symbol	RNA
Tmem183a	Tmem183a	Gene Expression
Cyb5r1	Cyb5r1	Gene Expression
Adipor1	Adipor1	Gene Expression
Klhl12	Klhl12	Gene Expression
Rabif	Rabif	Gene Expression
Kdm5b	Kdm5b	Gene Expression
Ppp1r12b	Ppp1r12b	Gene Expression
Ube2t	Ube2t	Gene Expression
Arl8a	Arl8a	Gene Expression
Elf3	Elf3	Gene Expression
Rnpep	Rnpep	Gene Expression
Timm17a	Timm17a	Gene Expression
Shisa4	Shisa4	Gene Expression
Ipo9	Ipo9	Gene Expression
Nav1	Nav1	Gene Expression
Csrp1	Csrp1	Gene Expression
Phlda3	Phlda3	Gene Expression
Lad1	Lad1	Gene Expression
Pkp1	Pkp1	Gene Expression
Tmem9	Tmem9	Gene Expression
Camsap2	Camsap2	Gene Expression
Ddx59	Ddx59	Gene Expression
Kif14	Kif14	Gene Expression
Zfp281	Zfp281	Gene Expression
Gm19705	Gm19705	Gene Expression
Platr22	Platr22	Gene Expression
Nr5a2	Nr5a2	Gene Expression
Ptprc	Ptprc	Gene Expression
Nek7	Nek7	Gene Expression
2310009B15Rik	2310009B15Rik	Gene Expression
Dennd1b	Dennd1b	Gene Expression
Zbtb41	Zbtb41	Gene Expression
Aspm	Aspm	Gene Expression
F13b	F13b	Gene Expression
Cfhr1	Cfhr1	Gene Expression
Gm4788	Gm4788	Gene Expression
Cfhr2	Cfhr2	Gene Expression
Cfh	Cfh	Gene Expression
Kcnt2	Kcnt2	Gene Expression
Cdc73	Cdc73	Gene Expression
Glrx2	Glrx2	Gene Expression
Trove2	Trove2	Gene Expression
Uchl5	Uchl5	Gene Expression
Rgs2	Rgs2	Gene Expression
Rgs1	Rgs1	Gene Expression
Pla2g4a	Pla2g4a	Gene Expression
BC003331	BC003331	Gene Expression
Tpr	Tpr	Gene Expression
Prg4	Prg4	Gene Expression
Hmcn1	Hmcn1	Gene Expression
C730036E19Rik	C730036E19Rik	Gene Expression
Gm10138	Gm10138	Gene Expression
Ivns1abp	Ivns1abp	Gene Expression
Swt1	Swt1	Gene Expression
Trmt1l	Trmt1l	Gene Expression
Rnf2	Rnf2	Gene Expression
Fam129a	Fam129a	Gene Expression
2810414N06Rik	2810414N06Rik	Gene Expression
Edem3	Edem3	Gene Expression
1700025G04Rik	1700025G04Rik	Gene Expression
Tsen15	Tsen15	Gene Expression
Rgl1	Rgl1	Gene Expression
Arpc5	Arpc5	Gene Expression
Ncf2	Ncf2	Gene Expression
Smg7	Smg7	Gene Expression
Lamc1	Lamc1	Gene Expression
Dhx9	Dhx9	Gene Expression
Npl	Npl	Gene Expression
Rgs16	Rgs16	Gene Expression
Rnasel	Rnasel	Gene Expression
Teddm2	Teddm2	Gene Expression
Glul	Glul	Gene Expression
Ier5	Ier5	Gene Expression
Mr1	Mr1	Gene Expression
Stx6	Stx6	Gene Expression
Xpr1	Xpr1	Gene Expression
Acbd6	Acbd6	Gene Expression
Qsox1	Qsox1	Gene Expression
Cep350	Cep350	Gene Expression
Tor1aip1	Tor1aip1	Gene Expression
Tor1aip2	Tor1aip2	Gene Expression
Gm2000	Gm2000	Gene Expression
Soat1	Soat1	Gene Expression
Gm10031	Gm10031	Gene Expression
Abl2	Abl2	Gene Expression
Tor3a	Tor3a	Gene Expression
Fam20b	Fam20b	Gene Expression
Ralgps2	Ralgps2	Gene Expression
Rasal2	Rasal2	Gene Expression
Cryzl2	Cryzl2	Gene Expression
Sec16b	Sec16b	Gene Expression
Cop1	Cop1	Gene Expression
4930523C07Rik	4930523C07Rik	Gene Expression
Mrps14	Mrps14	Gene Expression
Cacybp	Cacybp	Gene Expression
Rabgap1l	Rabgap1l	Gene Expression
Rc3h1	Rc3h1	Gene Expression
Serpinc1	Serpinc1	Gene Expression
Zbtb37	Zbtb37	Gene Expression
Dars2	Dars2	Gene Expression
Cenpl	Cenpl	Gene Expression
Klhl20	Klhl20	Gene Expression
Prdx6	Prdx6	Gene Expression
Suco	Suco	Gene Expression
Pigc	Pigc	Gene Expression
Dnm3	Dnm3	Gene Expression
Mettl13	Mettl13	Gene Expression
Vamp4	Vamp4	Gene Expression
Prrc2c	Prrc2c	Gene Expression
Fmo4	Fmo4	Gene Expression
Fmo1	Fmo1	Gene Expression
Fmo2	Fmo2	Gene Expression
Prrx1	Prrx1	Gene Expression
Gorab	Gorab	Gene Expression
Kifap3	Kifap3	Gene Expression
Scyl3	Scyl3	Gene Expression
